invoice_id,invoice_date,customer_id,first_name,last_name,billing_country,billing_city,track_id,track_name,genre_name,unit_price,quantity,revenue
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1158,Right Next Door to Hell,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1159,Dust N' Bones,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1160,Live and Let Die,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1161,Don't Cry (Original),Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1162,Perfect Crime,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1163,You Ain't the First,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1164,Bad Obsession,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1165,Back off Bitch,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1166,Double Talkin' Jive,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1167,November Rain,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1168,The Garden,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1169,Garden of Eden,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1170,Don't Damn Me,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1171,Bad Apples,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1172,Dead Horse,Rock,0.99,1.0,0.99
1,2017-01-03,18,Michelle                                          ,Brooks                                            ,USA,New York,1173,Coma,Rock,0.99,1.0,0.99
2,2017-01-03,30,Edward                                            ,Francis                                           ,Canada,Ottawa,3476,Help Yourself,Pop,0.99,1.0,0.99
2,2017-01-03,30,Edward                                            ,Francis                                           ,Canada,Ottawa,482,Good Riddance (Time Of Your Life),Alternative & Punk,0.99,1.0,0.99
2,2017-01-03,30,Edward                                            ,Francis                                           ,Canada,Ottawa,2701,Blinded By Rainbows,Rock,0.99,1.0,0.99
2,2017-01-03,30,Edward                                            ,Francis                                           ,Canada,Ottawa,1641,Gallows Pole,Rock,0.99,1.0,0.99
2,2017-01-03,30,Edward                                            ,Francis                                           ,Canada,Ottawa,1119,Toda Menina Baiana,Latin,0.99,1.0,0.99
2,2017-01-03,30,Edward                                            ,Francis                                           ,Canada,Ottawa,2324,Pretty Persuasion,Alternative & Punk,0.99,1.0,0.99
2,2017-01-03,30,Edward                                            ,Francis                                           ,Canada,Ottawa,201,Keep It To Myself (Aka Keep It To Yourself),Blues,0.99,1.0,0.99
2,2017-01-03,30,Edward                                            ,Francis                                           ,Canada,Ottawa,819,Talk About Love,Rock,0.99,1.0,0.99
2,2017-01-03,30,Edward                                            ,Francis                                           ,Canada,Ottawa,392,Tim Tim Por Tim Tim,Latin,0.99,1.0,0.99
2,2017-01-03,30,Edward                                            ,Francis                                           ,Canada,Ottawa,2651,Can't Stand Losing You,Rock,0.99,1.0,0.99
3,2017-01-05,40,Dominique                                         ,Lefebvre                                          ,France,Paris,2516,Black Hole Sun,Rock,0.99,1.0,0.99
3,2017-01-05,40,Dominique                                         ,Lefebvre                                          ,France,Paris,2646,I Looked At You,Rock,0.99,1.0,0.99
4,2017-01-06,18,Michelle                                          ,Brooks                                            ,USA,New York,3448,"Lamentations of Jeremiah, First Set \ Incipit Lamentatio",Classical,0.99,1.0,0.99
4,2017-01-06,18,Michelle                                          ,Brooks                                            ,USA,New York,2560,Violent Pornography,Metal,0.99,1.0,0.99
4,2017-01-06,18,Michelle                                          ,Brooks                                            ,USA,New York,3336,War Pigs,Alternative,0.99,1.0,0.99
4,2017-01-06,18,Michelle                                          ,Brooks                                            ,USA,New York,829,Let's Get Rocked,Rock,0.99,1.0,0.99
4,2017-01-06,18,Michelle                                          ,Brooks                                            ,USA,New York,1872,Attitude,Metal,0.99,1.0,0.99
4,2017-01-06,18,Michelle                                          ,Brooks                                            ,USA,New York,748,Dealer,Rock,0.99,1.0,0.99
